priority_rank,cluster,cluster_name,n_umkm,priority_score,low_infra_score,low_income_score,high_risk_score,low_survival_score,budget_allocation_pct,budget_allocation
1,3,High-Risk Underserved,2124,0.9680859021722688,1.0,1.0,0.8723436086890747,1.0,41.51880262381671,41.51880262381671
2,4,High-Risk Underserved (4),1898,0.7252416741470528,0.5407723418613213,0.6061423316283976,0.9999999996718681,0.8073719438179495,27.794276394687433,27.794276394687433
3,1,Rural Developing,2684,0.4835655425714701,0.5740525669300759,0.6774841654957477,0.15349851207261037,0.5180205155017892,26.20681665663338,26.20681665663338
4,2,Urban Digital Leaders (2),926,0.1911516994038978,0.05064748033005084,0.11175936946780374,0.0,0.7400880646896582,3.5740906403612125,3.5740906403612125
5,0,Urban Digital Leaders,2368,0.01894857901994038,3.3291147616409944e-12,1.6758816556716738e-11,0.07579431489134898,1.4595734620925782e-09,0.9060136845012532,0.9060136845012532
